admin,127.0.0.1,53445,2025-02-20@21:48:00,allo
tommy,127.0.0.1,53451,2025-02-20@21:48:51,salut admin !
tommy,127.0.0.1,53536,2025-02-20@22:05:53,Salut Adminnn :O
admin,127.0.0.1,53537,2025-02-20@22:06:06,Comment cava tommy
tommy,127.0.0.1,53568,2025-02-20@22:10:04,allo admin
allo,127.0.0.1,53600,2025-02-20@22:12:41,Salut
tommy,127.0.0.1,54599,2025-02-21@00:09:46,salut
tommy,127.0.0.1,54703,2025-02-21@00:28:06,Wow, je parle tout seul maintenant.
pop,127.0.0.1,54304,2025-02-21@00:41:39,test
admin,127.0.0.1,57798,2025-02-21@02:28:56,20/20 SIVOUPLE
super,127.0.0.1,54607,2025-02-21@13:56:52,bonjour dj
admin,127.0.0.1,54712,2025-02-21@13:59:56,je parle
admin,127.0.0.1,54712,2025-02-21@14:00:10,Je test les messages
